treatment,treatment_label,replicate,week,soil_pH,organic_carbon_pct,available_N_mgkg,available_P_mgkg,available_K_mgkg,MBC_ugg,MBN_ugg,MBP_ugg,MBK_ugg,urease_activity,amylase_activity,dehydrogenase_activity,genus_Bacillus,genus_Pseudomonas,genus_Azotobacter,genus_Rhizobium,genus_Streptomyces,genus_Arthrobacter,genus_Enterobacter,genus_Nitrosomonas,genus_Flavobacterium,genus_Serratia,genus_Micrococcus,genus_Paenibacillus,leaf_number_6wap,plant_height_cm,shoot_dry_matter_g,grain_yield_kg_ha
D,Compost + leaf-litter blend,1,10,6.03,2.32,82.3,15.2,88.5,203.9,32.0,14.0,20.7,27.3,11.12,8.29,688,1254,1006,457,749,574,513,894,783,298,689,505,,38.6,6.37,
D,Compost + leaf-litter blend,1,12,6.08,2.21,77.0,11.3,86.4,235.3,24.7,15.1,25.6,23.53,11.59,7.13,1802,426,1141,555,489,808,1763,694,238,825,1204,633,,37.1,7.43,3908.4
D,Compost + leaf-litter blend,2,0,5.9,1.95,69.7,14.5,83.1,245.9,24.2,14.1,21.5,23.75,10.78,6.7,819,921,1671,833,507,891,433,506,268,592,958,566,,37.6,5.32,
D,Compost + leaf-litter blend,2,2,6.05,2.19,78.2,15.7,90.0,174.4,31.8,14.6,22.8,25.26,10.84,7.74,639,767,391,371,310,342,818,943,892,2043,626,505,,40.7,6.29,
D,Compost + leaf-litter blend,2,4,5.98,2.12,68.4,12.7,86.9,214.9,30.9,15.0,21.9,21.48,10.76,6.39,157,245,1020,782,113,487,1520,1168,1027,553,403,1390,,33.9,6.09,
D,Compost + leaf-litter blend,2,6,6.53,2.1,82.8,14.0,86.1,219.4,29.7,12.9,18.8,27.75,13.0,10.14,1581,438,1100,428,945,1141,1446,888,237,300,1467,491,11.6,38.0,6.14,
D,Compost + leaf-litter blend,2,8,6.42,2.24,71.0,16.5,92.7,217.8,32.3,14.8,21.6,25.49,8.03,8.35,460,1299,557,670,455,1037,548,748,724,539,1680,1405,,42.4,6.48,
D,Compost + leaf-litter blend,2,10,6.21,2.12,74.0,15.5,93.7,215.9,28.4,14.2,23.9,29.14,10.36,7.77,1079,1520,742,740,379,600,1013,1199,1200,243,734,365,,40.8,5.14,
D,Compost + leaf-litter blend,2,12,6.17,2.02,80.5,16.8,97.0,211.1,32.5,17.3,17.5,27.65,13.12,8.38,281,359,748,537,852,1908,900,1311,413,714,826,341,,37.5,6.86,3383.1
D,Compost + leaf-litter blend,3,0,5.92,2.02,79.5,14.8,82.3,187.9,32.7,11.8,18.2,25.46,7.63,9.48,904,843,405,429,1400,790,647,1137,746,345,1033,1071,,40.3,6.23,
D,Compost + leaf-litter blend,3,2,6.28,2.27,70.3,13.3,80.1,200.2,20.7,13.5,18.9,26.45,11.33,7.35,1378,385,148,517,491,492,1056,1145,1906,431,820,1739,,33.3,6.23,
D,Compost + leaf-litter blend,3,4,6.26,1.97,78.9,14.7,77.0,213.9,28.8,13.7,20.5,22.28,11.91,8.15,701,287,171,374,991,278,1720,1645,324,573,424,854,,34.8,5.08,
D,Compost + leaf-litter blend,3,6,6.41,2.39,77.7,13.1,81.7,217.7,32.6,12.1,20.5,25.37,12.48,7.91,283,812,766,375,778,1407,451,573,647,435,1108,788,11.1,34.7,6.13,
D,Compost + leaf-litter blend,3,8,6.12,2.31,83.0,16.2,89.6,211.8,25.2,14.1,21.4,25.81,12.01,9.55,415,1106,500,584,930,673,219,1183,1449,1139,961,128,,38.2,6.38,
D,Compost + leaf-litter blend,3,10,6.1,1.9,80.6,18.0,95.1,186.3,24.8,13.1,17.4,25.6,12.05,6.85,958,669,234,836,810,518,1358,1125,399,667,624,696,,32.4,6.32,
D,Compost + leaf-litter blend,3,12,6.2,2.25,75.3,18.4,87.0,206.0,26.7,11.7,25.5,29.93,12.55,7.62,1823,774,1020,825,512,677,990,406,1296,966,1213,886,,36.9,6.16,3444.4
D,Compost + leaf-litter blend,4,0,6.32,2.08,73.8,15.8,83.6,248.7,27.9,14.1,15.7,22.12,12.44,6.35,176,1738,713,1111,164,1289,1188,1673,240,557,1062,1543,,33.4,5.89,
D,Compost + leaf-litter blend,4,2,6.04,2.02,75.4,9.7,98.9,212.5,26.0,17.4,19.4,24.49,9.99,10.06,523,575,594,1953,969,1101,522,438,538,353,351,1083,,39.6,5.22,
D,Compost + leaf-litter blend,4,4,6.22,2.34,75.7,13.8,87.9,200.0,24.0,15.3,23.3,23.5,10.33,7.04,619,216,743,913,402,581,696,400,602,604,1983,422,,37.2,6.01,
D,Compost + leaf-litter blend,4,6,6.04,2.07,65.6,16.5,81.8,209.6,24.3,13.2,20.1,24.75,11.86,10.05,759,1135,425,794,383,436,429,1279,954,725,165,900,11.4,44.2,6.06,
D,Compost + leaf-litter blend,4,8,6.17,1.95,81.9,14.5,83.5,232.3,32.4,16.5,20.2,24.97,11.16,9.38,1239,1486,640,1589,777,556,968,1038,565,490,1336,746,,39.2,6.85,
D,Compost + leaf-litter blend,4,10,6.41,2.15,80.0,15.2,91.5,220.8,29.5,14.9,22.5,24.59,11.04,10.62,1837,210,554,791,1083,473,217,396,620,129,768,1058,,34.7,6.72,
D,Compost + leaf-litter blend,4,12,6.65,1.88,81.4,12.9,91.8,216.0,30.1,13.2,23.6,21.47,13.58,8.2,229,529,1628,868,1866,720,884,1236,444,178,1460,872,,30.2,6.5,3519.7
D,Compost + leaf-litter blend,5,0,6.09,2.05,70.5,11.4,89.0,204.6,26.5,12.0,16.3,24.42,13.18,8.19,462,643,1586,1536,601,1471,1669,1733,625,156,1062,334,,37.8,4.95,
D,Compost + leaf-litter blend,5,2,6.24,2.06,70.6,16.0,71.2,209.2,32.6,16.5,21.2,23.19,9.75,7.71,872,1016,600,249,689,468,567,806,1707,961,329,1118,,33.7,5.91,
D,Compost + leaf-litter blend,5,4,6.24,2.26,76.4,15.9,89.7,189.8,25.3,12.1,17.2,26.82,11.39,8.29,185,603,428,228,648,508,1573,891,538,770,1927,655,,35.6,5.46,
D,Compost + leaf-litter blend,5,6,6.08,2.3,77.0,15.4,84.8,246.8,32.5,13.0,20.1,24.14,11.33,7.48,817,225,452,1522,932,561,892,1382,607,868,942,313,11.2,41.2,6.96,
D,Compost + leaf-litter blend,5,8,6.22,2.34,76.1,16.7,84.6,205.4,26.9,10.8,24.3,23.2,9.98,7.03,709,1886,562,1138,409,610,919,192,1983,214,394,786,,34.8,6.05,
D,Compost + leaf-litter blend,5,10,5.77,2.0,77.3,16.7,76.7,210.4,32.4,12.0,21.9,25.67,14.17,8.29,542,315,924,539,1169,373,1440,923,579,1413,1044,486,,40.4,6.22,
D,Compost + leaf-litter blend,5,12,6.28,2.11,77.9,14.6,94.7,208.7,34.2,14.3,21.7,28.09,11.63,8.34,671,386,736,692,744,619,391,1362,513,1343,404,1718,,39.8,6.77,3417.1
D,Compost + leaf-litter blend,6,0,6.2,2.14,67.2,14.6,76.8,186.2,25.7,14.6,19.2,21.8,10.68,6.57,930,598,767,841,550,1090,1060,1414,1026,741,1372,644,,34.4,6.64,
D,Compost + leaf-litter blend,6,2,6.18,1.98,68.1,12.0,77.0,205.7,30.7,12.9,24.2,21.94,10.38,6.78,1158,87,1300,911,686,1661,634,732,260,492,795,612,,37.0,6.68,
D,Compost + leaf-litter blend,6,4,6.19,2.04,65.7,12.5,74.4,212.7,24.1,16.3,20.6,23.7,9.58,8.94,550,1320,687,802,820,640,708,1911,537,1853,932,638,,33.5,5.32,
D,Compost + leaf-litter blend,6,6,6.41,2.16,86.1,14.4,87.1,200.2,29.0,11.1,22.5,25.75,11.0,7.85,480,297,2415,407,1070,337,976,905,372,1016,461,442,11.0,36.1,5.28,
D,Compost + leaf-litter blend,6,8,6.07,2.32,76.7,13.8,85.5,189.1,25.9,16.9,20.7,30.8,11.11,8.4,1041,581,1399,231,675,840,1431,725,1278,1124,827,645,,42.3,7.0,
D,Compost + leaf-litter blend,6,10,6.16,2.07,84.4,16.6,90.2,211.3,30.3,14.6,19.7,25.86,11.85,8.12,1195,1337,1328,452,941,1548,1045,574,429,194,641,643,,39.4,5.76,
D,Compost + leaf-litter blend,6,12,6.15,2.15,74.1,14.4,95.3,212.9,26.4,14.8,21.9,19.89,11.52,9.73,997,1275,2691,826,848,535,509,1491,209,290,978,1307,,40.9,6.53,3612.4
E,Biochar amendment,1,0,6.34,2.21,77.9,17.1,72.9,207.6,27.9,16.5,24.9,20.65,13.46,6.99,336,575,897,1080,538,1422,374,581,612,703,577,594,,38.4,5.73,
E,Biochar amendment,1,2,6.37,2.19,82.8,13.9,85.8,196.7,27.1,16.9,25.0,21.93,10.65,8.44,1191,205,297,1057,933,1345,690,1495,1309,448,782,559,,40.0,5.89,
E,Biochar amendment,1,4,6.28,2.17,81.4,13.5,88.2,217.7,31.5,13.7,15.4,22.5,11.46,8.75,1228,427,1023,568,1256,375,783,620,668,302,584,516,,39.7,6.48,
E,Biochar amendment,1,6,6.14,2.1,73.5,14.9,90.3,210.1,30.3,13.3,17.7,28.58,10.98,7.8,467,1667,799,269,2872,863,776,1531,528,1097,312,619,13.5,36.7,6.55,
E,Biochar amendment,1,8,6.45,2.26,72.0,13.8,88.8,221.2,25.3,16.7,19.5,30.98,14.83,8.64,990,804,343,515,1359,1741,1488,702,664,1252,642,422,,36.9,6.45,
E,Biochar amendment,1,10,5.89,2.21,88.1,17.8,88.7,207.5,32.3,11.3,25.3,26.23,15.03,7.0,1318,786,1311,2124,496,372,667,1263,715,925,1190,660,,38.3,6.67,
E,Biochar amendment,1,12,6.11,2.09,90.1,18.6,98.6,226.0,30.4,18.1,21.9,25.35,15.28,9.15,1775,1260,1038,555,711,354,1694,560,621,364,302,1430,,36.6,6.49,4200.2
E,Biochar amendment,2,0,6.13,2.15,68.2,17.5,84.1,227.8,28.4,15.5,22.7,23.64,12.95,7.49,904,818,533,597,440,657,480,2105,706,204,490,450,,39.8,5.32,
E,Biochar amendment,2,2,6.24,2.12,78.6,14.6,96.3,213.7,34.5,13.2,23.2,25.2,10.86,9.29,582,39,1327,630,930,543,415,2246,684,1309,586,536,,33.0,6.73,
E,Biochar amendment,2,4,6.16,2.28,76.8,15.4,81.8,230.0,27.0,13.9,21.6,26.11,8.83,8.39,1409,708,829,870,566,430,844,1127,538,414,645,548,,34.5,6.17,
E,Biochar amendment,2,6,6.19,2.45,81.9,14.9,94.3,254.0,25.2,13.5,21.3,24.87,11.21,7.24,1898,648,916,428,493,479,986,2005,710,651,670,690,12.6,43.8,6.68,
E,Biochar amendment,2,8,6.39,2.28,88.1,18.7,96.9,235.8,29.9,15.2,21.4,28.36,10.77,8.71,99,466,970,965,1358,510,276,606,1094,1033,362,290,,34.9,6.74,
E,Biochar amendment,2,10,6.08,2.07,77.9,16.6,90.6,229.0,33.0,17.4,21.7,23.74,12.22,9.64,332,631,614,350,1090,334,758,1336,1760,598,913,676,,38.6,7.27,
E,Biochar amendment,2,12,6.37,2.26,80.1,17.0,92.2,257.0,31.6,14.9,21.7,23.61,13.17,8.23,906,572,134,428,736,620,694,862,831,1633,1071,888,,40.7,6.3,4114.8
E,Biochar amendment,3,0,6.25,2.21,65.2,15.1,89.5,215.4,31.7,13.7,21.1,28.54,7.55,9.11,708,870,1129,1040,1006,596,623,321,627,1360,828,797,,38.7,6.62,
E,Biochar amendment,3,2,6.15,2.11,79.0,15.9,91.5,223.7,26.3,16.4,24.2,25.93,8.99,8.4,1146,845,1525,411,1199,828,733,1340,929,849,657,496,,34.6,6.62,
E,Biochar amendment,3,4,6.15,2.09,85.8,16.4,94.9,225.1,28.3,15.9,24.6,26.15,14.44,9.69,597,613,637,539,795,751,311,643,439,1177,674,890,,38.6,5.89,
E,Biochar amendment,3,6,6.22,2.19,81.7,14.8,94.4,208.3,28.3,14.1,19.2,29.17,10.19,7.97,1328,547,1169,1121,788,458,1134,766,375,475,295,647,10.9,39.9,6.19,
E,Biochar amendment,3,8,6.27,2.17,75.7,16.1,83.6,233.3,27.7,16.9,21.4,29.69,10.12,8.13,657,1156,1243,907,722,278,236,855,307,297,570,1162,,35.1,6.34,
E,Biochar amendment,3,10,6.36,2.35,78.4,16.9,94.8,220.4,32.7,18.8,23.7,28.57,13.18,7.32,824,442,522,1037,417,675,785,1260,1071,378,797,687,,37.8,6.4,
E,Biochar amendment,3,12,6.19,2.25,78.4,15.4,92.6,231.1,30.0,16.2,18.3,25.06,11.83,8.18,1382,620,634,584,588,344,960,1429,516,1006,1923,1554,,43.9,5.84,3598.8
E,Biochar amendment,4,0,6.03,1.95,79.3,14.9,87.3,220.3,23.2,16.7,20.1,26.6,12.19,10.04,498,567,370,551,1232,414,1198,789,687,779,741,408,,34.8,5.36,
E,Biochar amendment,4,2,5.9,1.96,75.6,15.3,83.3,216.5,27.9,16.6,20.9,27.46,11.71,6.85,656,697,984,813,1127,699,1682,575,588,524,793,472,,32.0,5.28,
E,Biochar amendment,4,4,6.15,2.05,76.3,13.7,90.4,216.4,31.3,15.2,22.1,21.41,12.35,8.27,639,356,1524,431,1421,449,465,1429,660,654,1248,1124,,36.6,6.35,
E,Biochar amendment,4,6,6.4,2.1,75.5,15.7,92.3,219.6,33.2,13.6,22.2,27.46,11.1,9.81,895,907,592,1545,748,150,1372,1054,661,1044,734,374,10.1,34.6,7.13,
E,Biochar amendment,4,8,6.14,2.22,77.0,13.2,96.8,192.6,28.8,15.1,22.8,24.32,8.98,7.98,634,1134,1089,1493,1441,1200,141,1483,723,474,1296,784,,33.7,7.23,
E,Biochar amendment,4,10,6.24,2.27,96.1,16.6,84.4,225.6,28.0,14.7,21.5,25.11,9.87,10.99,712,847,883,829,1256,546,623,875,392,444,430,1322,,40.4,6.04,
E,Biochar amendment,4,12,6.25,2.23,80.4,16.1,93.2,252.0,31.3,17.6,25.1,29.25,9.42,10.55,581,390,1827,1304,918,346,411,1157,305,691,1073,389,,38.7,6.4,3618.7
E,Biochar amendment,5,0,6.36,2.04,68.3,14.2,95.0,224.5,28.0,16.9,22.9,24.2,10.93,8.8,419,733,579,1117,778,1143,1587,842,567,243,890,122,,31.3,4.2,
E,Biochar amendment,5,2,5.95,2.12,76.6,16.3,84.8,198.7,28.0,14.7,21.9,23.01,12.82,7.79,428,1251,499,1952,1368,505,341,769,462,971,208,288,,38.8,6.23,
E,Biochar amendment,5,4,6.06,2.17,75.4,13.9,93.6,230.9,32.5,13.7,24.5,24.27,12.61,8.06,791,564,691,430,579,1479,580,653,1540,755,227,1871,,39.5,5.5,
E,Biochar amendment,5,6,6.14,2.15,73.9,14.3,99.2,207.2,33.3,14.2,21.8,27.81,10.78,9.49,202,86,1175,338,779,1487,189,1052,1039,459,852,544,12.7,37.8,6.56,
E,Biochar amendment,5,8,5.96,2.22,79.3,17.8,88.0,221.6,33.7,15.1,19.4,34.15,10.19,8.86,957,800,715,2096,1248,663,317,456,398,542,491,1292,,34.1,6.82,
E,Biochar amendment,5,10,5.99,2.26,81.1,16.7,95.1,214.5,28.0,16.7,20.9,18.62,13.14,7.83,805,622,699,355,858,1097,1601,1097,1116,283,733,650,,37.9,5.92,
E,Biochar amendment,5,12,6.32,2.35,84.3,16.9,84.3,240.7,33.2,17.9,28.1,22.17,11.66,8.32,1081,810,545,571,491,913,1497,1942,981,914,803,646,,41.4,6.49,4100.2
E,Biochar amendment,6,0,6.01,1.92,72.9,13.1,78.7,221.3,28.8,13.5,20.0,23.21,13.84,7.52,388,710,812,1904,751,1329,548,2130,873,366,628,1499,,36.9,6.67,
E,Biochar amendment,6,2,6.06,1.92,75.1,13.0,88.1,203.6,23.4,17.7,20.0,20.46,12.82,7.66,1363,438,1234,866,1361,697,1238,1201,281,627,595,843,,36.7,4.76,
E,Biochar amendment,6,4,5.95,2.39,72.3,17.7,83.5,215.9,31.5,13.3,25.6,25.98,12.3,8.35,1319,876,527,982,1040,617,820,981,804,665,1128,536,,43.7,5.36,
E,Biochar amendment,6,6,6.24,2.2,80.4,17.6,97.4,215.1,30.6,11.7,22.1,23.74,11.44,6.78,658,631,349,747,960,1078,803,446,848,651,698,730,10.3,37.5,5.39,
E,Biochar amendment,6,8,6.22,2.39,77.2,16.1,95.7,194.2,28.9,15.9,15.0,23.57,13.68,10.14,716,559,434,361,1378,486,571,1185,701,623,806,1103,,34.1,6.42,
E,Biochar amendment,6,10,6.5,2.11,80.2,18.2,96.0,265.7,28.7,13.7,25.6,23.29,11.79,9.0,1058,966,1245,1151,1133,281,630,902,1164,402,614,996,,36.0,6.31,
E,Biochar amendment,6,12,6.29,2.17,77.2,17.4,90.5,239.9,28.0,13.2,24.7,28.01,13.76,8.57,411,292,1227,443,684,370,906,995,1322,1170,1049,612,,38.1,6.72,3878.6
F,Vermicompost,1,0,6.25,2.15,75.3,17.4,92.6,207.7,29.6,12.0,22.1,25.65,10.88,10.75,357,1958,678,305,839,587,880,631,630,873,862,645,,34.8,6.65,
F,Vermicompost,1,2,6.23,2.27,88.5,16.8,88.3,243.2,28.8,15.6,19.1,23.56,12.08,9.44,289,485,751,921,1632,725,534,1175,428,976,565,1848,,37.1,6.68,
F,Vermicompost,1,4,5.99,2.14,81.5,16.9,92.2,233.9,31.3,15.3,21.9,25.78,12.56,9.64,634,355,1225,517,466,630,587,1258,620,414,658,722,,38.8,6.57,
F,Vermicompost,1,6,6.4,2.11,80.2,17.4,96.8,240.6,39.8,16.9,25.8,26.55,10.8,8.91,980,961,633,1081,536,477,697,699,933,765,517,1279,12.4,39.9,5.66,
F,Vermicompost,1,8,6.27,2.1,86.0,15.8,95.1,217.9,32.4,17.7,21.3,26.05,13.31,10.01,99,704,624,907,1030,609,983,1704,1152,514,511,1270,,35.6,6.22,
F,Vermicompost,1,10,5.92,2.41,75.9,17.2,91.1,219.5,33.2,15.6,25.7,24.48,11.56,6.72,250,1976,465,1129,701,671,858,1197,945,747,328,750,,33.7,6.6,
F,Vermicompost,1,12,6.41,2.23,83.8,17.5,98.4,267.9,34.3,18.9,23.0,26.47,12.61,8.34,1004,594,467,677,702,868,908,1411,1154,562,1087,1314,,41.2,6.91,3786.5
F,Vermicompost,2,0,6.23,2.32,78.7,16.6,90.8,224.9,35.4,17.3,22.2,26.89,10.68,8.64,752,853,953,349,1286,900,1138,335,1048,334,564,860,,34.7,6.48,
F,Vermicompost,2,2,6.11,2.22,73.3,15.6,95.9,235.7,28.3,13.2,22.4,28.34,12.64,8.38,1027,882,886,365,866,977,833,878,619,914,1109,633,,44.4,7.22,
F,Vermicompost,2,4,6.32,2.23,82.0,15.1,84.1,213.2,31.3,15.0,19.0,26.95,11.68,7.74,564,401,234,720,808,414,574,652,1944,770,969,790,,36.9,6.61,
F,Vermicompost,2,6,6.5,2.39,83.4,17.7,88.7,229.8,34.4,18.5,21.0,26.02,15.88,9.4,1241,627,853,321,965,452,912,665,364,566,402,689,10.4,40.2,5.41,
F,Vermicompost,2,8,6.2,2.47,91.3,13.9,96.8,222.5,28.4,15.8,26.4,29.67,11.44,10.28,262,345,893,905,1433,825,1400,756,538,234,585,773,,38.2,6.63,
F,Vermicompost,2,10,6.15,2.28,66.2,16.9,96.3,256.5,36.4,15.9,25.7,24.98,14.0,8.89,305,1070,920,747,737,799,271,1392,198,479,762,367,,39.7,5.91,
F,Vermicompost,2,12,6.02,2.34,79.2,14.6,101.1,254.7,31.8,17.0,24.4,30.49,13.94,6.6,833,542,1240,415,1188,851,1183,358,1009,1391,2406,411,,38.8,7.09,3643.2
F,Vermicompost,3,0,6.15,2.16,76.8,17.0,94.3,240.5,29.2,17.3,18.6,22.08,9.86,8.86,1211,573,918,519,643,720,1235,1739,708,1942,579,975,,39.0,5.54,
F,Vermicompost,3,2,6.29,2.2,81.4,15.8,90.1,213.6,33.0,18.0,20.9,28.32,12.69,9.01,227,331,1113,586,256,1331,887,613,466,1013,932,1113,,39.6,6.41,
F,Vermicompost,3,4,6.12,2.22,78.7,17.6,91.6,207.7,26.1,12.4,24.2,23.61,12.67,9.31,591,710,515,1269,388,243,979,857,1067,816,880,552,,43.6,5.96,
F,Vermicompost,3,6,6.16,2.29,84.4,15.6,105.2,240.1,33.2,18.9,21.9,27.2,10.38,9.08,430,1053,998,572,1572,1376,989,1959,386,673,1281,607,12.5,42.9,7.16,
F,Vermicompost,3,8,6.17,1.98,84.9,18.8,102.5,244.2,28.5,15.1,28.1,23.62,10.74,10.57,388,1362,558,1578,1540,367,1260,298,466,812,380,525,,36.3,7.52,
F,Vermicompost,3,10,6.27,2.51,83.1,16.0,106.7,232.2,31.9,17.5,20.5,30.42,13.71,11.1,872,429,1279,239,1407,911,410,673,309,759,764,475,,41.3,7.02,
F,Vermicompost,3,12,6.33,2.36,79.0,18.0,97.3,237.2,32.0,15.2,26.2,24.43,11.38,9.33,1561,317,1315,135,1432,497,173,735,1380,381,990,197,,36.1,6.61,3971.0
F,Vermicompost,4,0,6.18,1.99,88.4,17.3,88.5,218.6,31.3,13.1,22.8,22.26,11.69,7.45,372,973,344,1304,199,910,767,779,1097,751,750,437,,42.3,6.31,
F,Vermicompost,4,2,6.21,2.07,80.5,14.3,98.8,267.5,32.1,14.2,16.0,21.6,14.48,7.76,390,883,451,399,646,1264,940,945,588,429,949,796,,42.4,5.74,
F,Vermicompost,4,4,6.11,2.29,87.1,14.5,89.7,231.6,30.6,17.1,31.2,28.32,11.01,7.59,742,849,765,664,1079,1551,1517,1334,539,81,1417,778,,37.1,6.12,
F,Vermicompost,4,6,6.09,2.16,80.6,16.0,105.2,227.8,32.6,14.7,21.5,22.36,9.87,7.84,875,252,398,1410,808,1001,931,1365,355,728,1192,738,10.8,29.4,6.45,
F,Vermicompost,4,8,6.07,2.32,73.0,15.6,97.9,221.9,33.2,15.0,23.2,29.66,14.1,9.55,483,850,559,582,346,1146,745,902,449,701,677,766,,39.9,6.64,
F,Vermicompost,4,10,6.45,2.22,90.3,15.7,102.8,259.4,31.6,19.2,24.8,25.65,12.18,10.94,1105,599,681,964,1752,1147,699,1641,439,454,1083,296,,34.0,6.48,
F,Vermicompost,4,12,5.99,2.52,95.7,15.4,98.9,230.0,32.0,19.7,22.8,27.83,11.46,11.1,710,801,387,384,1004,597,852,569,392,258,878,1675,,41.4,6.74,4083.9
F,Vermicompost,5,0,6.3,2.16,79.9,14.7,94.2,194.8,32.5,15.1,20.8,25.55,11.55,10.41,2470,395,960,343,1380,438,712,393,633,541,589,859,,37.5,5.67,
F,Vermicompost,5,2,5.94,2.18,73.6,14.0,94.8,199.9,34.9,15.6,22.2,23.55,13.22,8.99,873,295,608,1181,998,1197,1443,1278,1187,758,1320,650,,40.5,6.44,
F,Vermicompost,5,4,6.12,2.16,84.1,12.6,97.6,202.0,26.9,14.6,28.1,32.09,13.32,9.57,249,353,988,1359,1133,641,506,629,619,300,689,1818,,39.1,5.8,
F,Vermicompost,5,6,6.13,2.21,75.7,17.0,90.9,228.4,29.9,21.1,21.3,21.26,9.83,10.2,1009,1006,470,570,927,500,591,983,578,791,376,502,14.0,34.4,7.07,
F,Vermicompost,5,8,6.07,2.29,95.7,15.1,90.7,237.0,29.5,17.6,22.0,29.84,10.45,7.27,595,1124,506,635,1435,605,1123,389,596,261,447,475,,36.4,6.33,
F,Vermicompost,5,10,6.05,2.38,80.0,15.4,93.8,255.8,33.1,16.1,20.0,24.85,10.73,11.15,928,412,411,574,1656,987,884,1562,822,1290,1573,298,,34.7,7.05,
F,Vermicompost,5,12,6.04,2.34,90.5,16.0,95.7,224.9,31.8,21.1,25.9,27.89,11.99,9.68,915,958,597,532,1046,906,1300,480,582,1688,1311,883,,40.9,6.1,4285.6
F,Vermicompost,6,0,6.15,2.12,64.9,16.8,91.1,224.5,29.0,14.1,21.1,27.64,12.82,8.57,1666,872,333,287,400,2214,1203,1491,740,811,1694,262,,36.6,6.61,
F,Vermicompost,6,2,6.37,2.52,77.6,15.4,95.2,216.3,30.2,14.6,15.8,27.03,11.7,10.52,948,587,378,665,444,754,1049,1677,1650,353,432,797,,38.5,6.64,
F,Vermicompost,6,4,6.1,2.14,83.3,16.1,90.3,228.9,35.9,14.8,21.5,21.94,12.12,9.93,788,1069,929,992,1414,238,862,1286,713,228,387,619,,38.4,6.97,
F,Vermicompost,6,6,5.79,2.27,87.9,19.2,98.3,259.0,32.1,15.8,24.3,27.46,11.13,8.67,325,712,511,953,294,931,864,1272,676,964,138,981,11.9,39.4,6.33,
F,Vermicompost,6,8,6.12,2.21,84.3,15.4,100.8,247.1,35.3,14.0,19.1,27.86,17.22,10.95,460,789,1247,657,1501,222,208,1138,1007,671,971,1427,,43.5,6.93,
F,Vermicompost,6,10,6.19,2.36,85.2,17.3,94.9,230.4,31.5,13.2,25.7,24.58,12.43,10.36,1193,742,848,543,1488,301,1417,2292,851,793,359,646,,45.1,7.33,
F,Vermicompost,6,12,6.01,2.35,75.4,18.3,87.5,232.4,32.9,17.3,23.3,33.24,14.13,10.5,434,584,1781,1182,1050,1277,615,758,1391,694,756,369,,35.0,5.64,3849.5
G,Humic acid extract,1,0,6.14,2.1,71.6,17.8,86.6,211.1,28.8,15.9,22.0,25.83,12.14,6.03,343,1241,1097,484,291,317,407,2230,384,573,1217,1380,,35.8,5.26,
G,Humic acid extract,1,2,6.11,1.93,71.4,15.3,85.9,256.8,24.6,14.1,17.3,23.7,10.58,9.36,471,533,462,716,907,177,449,1806,315,834,437,900,,31.9,6.25,
G,Humic acid extract,1,4,6.06,2.14,77.3,12.5,88.1,221.7,31.0,14.7,16.2,29.06,11.97,7.04,457,717,1135,404,370,1885,522,992,522,207,732,526,,43.1,5.97,
G,Humic acid extract,1,6,6.17,2.32,74.7,13.5,90.1,233.3,30.5,14.6,17.8,25.41,13.46,7.13,705,322,871,381,743,1813,1754,1172,1153,1066,855,964,11.9,38.2,6.23,
G,Humic acid extract,1,8,6.17,2.25,77.3,13.5,93.1,208.2,25.9,13.1,22.5,25.66,8.24,8.28,1097,385,891,76,899,405,600,993,600,587,523,1100,,31.3,6.1,
G,Humic acid extract,1,10,6.06,2.16,75.8,15.8,84.4,204.3,33.9,13.4,22.1,29.18,13.29,9.83,799,1279,199,962,1873,713,608,1113,581,673,250,996,,37.5,6.5,
G,Humic acid extract,1,12,6.29,2.1,76.5,16.3,97.1,209.3,30.1,14.9,23.4,26.65,11.13,10.5,440,230,828,863,2175,208,422,792,1279,1689,205,189,,38.0,6.22,3360.8
G,Humic acid extract,2,0,6.17,2.19,74.9,13.7,78.1,195.5,29.4,14.7,18.6,17.87,11.63,7.14,976,253,1920,704,181,116,1371,1207,612,547,223,629,,33.8,5.13,
G,Humic acid extract,2,2,6.15,2.12,73.2,16.3,87.1,226.7,27.6,19.8,19.5,22.15,9.49,8.1,322,293,406,1335,607,653,631,1194,1249,844,1510,409,,40.6,6.8,
G,Humic acid extract,2,4,6.25,2.1,80.5,13.6,76.6,220.5,26.0,14.4,21.5,25.97,12.81,9.48,760,567,698,850,688,1014,864,1554,641,282,664,1158,,35.7,5.47,
G,Humic acid extract,2,6,6.1,2.11,77.6,15.0,88.2,216.3,28.1,13.3,24.2,19.27,11.15,8.05,1228,660,1767,514,1696,941,845,1377,244,1197,697,621,11.0,30.2,7.18,
G,Humic acid extract,2,8,6.05,2.13,86.5,15.4,88.7,201.9,25.0,14.6,22.7,26.87,10.89,8.77,211,736,883,858,1102,328,1000,905,1195,408,1306,1248,,37.2,6.12,
G,Humic acid extract,2,10,6.17,2.32,67.4,15.9,90.2,203.0,32.3,13.8,21.2,31.86,13.45,9.56,805,1460,301,673,386,579,629,750,530,1006,1251,304,,41.2,6.06,
G,Humic acid extract,2,12,6.04,2.13,77.9,17.9,92.6,246.0,32.2,14.8,21.4,28.36,13.32,10.2,493,896,306,528,1460,404,895,510,736,478,1001,370,,38.6,6.74,3756.4
